,tmdbId,Title,Year,genres
76,124626,Nico Icon,1995,Documentary
77,27526,The Crossing Guard,1995,Action|Crime|Drama|Thriller
78,9623,The Juror,1996,Drama|Thriller
79,46785,The White Balloon,1995,Children|Drama
80,400,Things to Do in Denver When You're Dead,1995,Crime|Drama|Romance
81,880,Antonia's Line,1995,Comedy|Drama
82,146599,Once Upon a Time... When We Were Colored,1995,Drama|Romance
83,188588,Last Summer in the Hamptons,1995,Comedy|Drama
84,8447,Angels and Insects,1995,Drama|Romance
85,10534,White Squall,1996,Action|Adventure|Drama
86,17414,Dunston Checks In,1996,Children|Comedy
87,13997,Black Sheep,1996,Comedy
88,2086,Nick of Time,1995,Action|Thriller
89,61548,The Journey of August King,1995,Drama
90,9095,Mary Reilly,1996,Drama|Horror|Thriller
91,12158,Vampire in Brooklyn,1995,Comedy|Horror|Romance
92,9283,Beautiful Girls,1996,Comedy|Drama|Romance
93,9208,Broken Arrow,1996,Action|Adventure|Thriller
94,40154,In the Bleak Midwinter,1995,Comedy|Drama
95,406,Hate,1995,Crime|Drama
96,45549,Shopping,1994,Action|Thriller
97,63076,Heidi Fleiss: Hollywood Madam,1995,Documentary
98,11062,City Hall,1996,Drama|Thriller
99,13685,Bottle Rocket,1996,Adventure|Comedy|Crime|Romance
100,47475,Mr. Wrong,1996,Comedy
101,2045,Unforgettable,1996,Mystery|Sci-Fi|Thriller
102,9614,Happy Gilmore,1996,Comedy
103,688,The Bridges of Madison County,1995,Drama|Romance
104,11907,Nobody Loves Me,1994,Comedy|Drama
105,10874,Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical
106,89333,Catwalk,1996,Documentary
107,96357,Headless Body in Topless Bar,1995,Comedy|Drama|Thriller
108,197,Braveheart,1995,Action|Drama|War
109,103,Taxi Driver,1976,Crime|Drama|Thriller
110,33542,Rumble in the Bronx,1995,Action|Adventure|Comedy|Crime
111,43566,Before and After,1996,Drama|Mystery
112,71754,Margaret's Museum,1995,Drama
113,43612,Happiness Is in the Field,1995,Comedy
114,51352,Anne Frank Remembered,1995,Documentary
115,16934,The Young Poisoner's Handbook,1995,Crime|Drama
116,10324,If Lucy Fell,1996,Comedy|Romance
117,78406,"Steal Big, Steal Little",1995,Comedy
118,55731,Race the Sun,1996,Adventure|Comedy|Drama
119,32119,The Boys of St. Vincent,1992,Drama
120,11066,Boomerang,1992,Comedy|Romance
121,11104,Chungking Express,1994,Drama|Mystery|Romance
122,37975,The Star Maker,1995,Drama
123,2074,Flirting With Disaster,1996,Comedy
124,27793,The NeverEnding Story III,1994,Adventure|Children|Fantasy
125,44284,The Silences of the Palace,1994,Drama
126,290157,Jupiter's Wife,1994,Documentary
127,110972,Pie in the Sky,1996,Comedy|Romance
128,32622,Angela,1995,Drama
129,73067,Frankie Starlight,1995,Drama|Romance
130,11863,Jade,1995,Thriller
131,55475,Nueba Yol,1995,Comedy|Drama
132,124636,Sonic Outlaws,1995,Documentary
133,9101,Down Periscope,1996,Comedy
134,123360,From the Journals of Jean Seberg,1995,Documentary
135,5757,Man of the Year,1995,Documentary
136,39428,The Neon Bible,1995,Drama
137,124639,Target,1995,Action|Drama
138,9302,Up Close and Personal,1996,Drama|Romance
139,11000,The Birdcage,1996,Comedy
140,525153,Shadows,1988,Drama
141,249882,Gospa,1995,Drama
142,16388,The Brothers McMullen,1995,Comedy
143,9737,Bad Boys,1995,Action|Comedy|Crime|Drama|Thriller
144,30765,The Amazing Panda Adventure,1995,Adventure|Children
145,10474,The Basketball Diaries,1995,Drama
146,22279,An Awfully Big Adventure,1995,Drama
147,30157,Amateur,1994,Crime|Drama|Thriller
148,568,Apollo 13,1995,Adventure|Drama|IMAX
149,11780,Rob Roy,1995,Action|Drama|Romance|War
150,34996,The Addiction,1995,Drama|Horror
151,414,Batman Forever,1995,Action|Adventure|Comedy|Crime
152,649,Beauty of the Day,1967,Drama
153,1873,Beyond Rangoon,1995,Adventure|Drama|War
154,5894,Blue in the Face,1995,Comedy|Drama
155,1775,Canadian Bacon,1995,Comedy|War
156,8839,Casper,1995,Adventure|Children
157,20649,Clockers,1995,Crime|Drama|Mystery
158,10329,Congo,1995,Action|Adventure|Mystery|Sci-Fi
159,8963,Crimson Tide,1995,Drama|Thriller|War
160,26564,Crumb,1994,Documentary
161,8068,Desperado,1995,Action|Romance|Western
162,8512,Devil in a Blue Dress,1995,Crime|Film-Noir|Mystery|Thriller
163,1572,Die Hard: With a Vengeance,1995,Action|Crime|Thriller
164,13552,The Doom Generation,1995,Comedy|Crime|Drama
165,259209,Feast of July,1995,Drama
166,6520,First Knight,1995,Action|Drama|Romance
167,9073,Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama
168,10428,Hackers,1995,Action|Adventure|Crime|Thriller
169,17447,Jeffrey,1995,Comedy|Drama
170,9886,Johnny Mnemonic,1995,Action|Sci-Fi|Thriller
171,9482,Judge Dredd,1995,Action|Crime|Sci-Fi
172,19326,Jury Duty,1995,Comedy
173,9344,Kids,1995,Drama
174,9071,Living in Oblivion,1995,Comedy
175,8973,Lord of Illusions,1995,Horror
176,15730,Love & Human Remains,1993,Comedy|Drama
177,47608,Mad Love,1995,Drama|Romance
178,2293,Mallrats,1995,Comedy|Romance
179,9070,Mighty Morphin Power Rangers: The Movie,1995,Action|Children
180,68274,Moonlight and Valentino,1995,Drama|Romance
181,48787,Mute Witness,1994,Comedy|Horror|Thriller
182,34574,Nadja,1994,Drama
183,1642,The Net,1995,Action|Crime|Thriller
184,11472,Nine Months,1995,Comedy|Romance
185,36196,Party Girl,1995,Comedy
186,11980,The Prophecy,1995,Fantasy|Horror|Mystery
187,58372,Reckless,1995,Comedy|Fantasy
188,32646,Safe,1995,Thriller
189,10533,The Scarlet Letter,1995,Drama|Romance
190,56088,The Show,1995,Documentary
191,10802,Showgirls,1995,Drama
192,10149,Smoke,1995,Comedy|Drama
193,18402,Something to Talk About,1995,Comedy|Drama|Romance
194,9348,Species,1995,Horror|Sci-Fi
195,139408,The Stars Fell on Henrietta,1995,Drama
196,281,Strange Days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
197,5967,The Umbrellas of Cherbourg,1964,Drama|Musical|Romance
198,79593,The Tie That Binds,1995,Thriller
199,47939,Three Wishes,1995,Drama|Fantasy
200,36834,Total Eclipse,1995,Drama|Romance
201,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy
202,3512,Under Siege 2: Dark Territory,1995,Action
203,52856,Unstrung Heroes,1995,Comedy|Drama
204,77350,Unzipped,1995,Documentary
205,9560,A Walk in the Clouds,1995,Drama|Romance
206,9804,Waterworld,1995,Action|Adventure|Sci-Fi
207,31611,White Man's Burden,1995,Drama
208,65796,Wild Bill,1995,Western
209,49805,The Browning Version,1994,Drama
210,26258,Bushwhacked,1995,Adventure|Comedy|Crime|Mystery
211,50797,Burnt by the Sun,1994,Drama
212,19155,Before the Rain,1994,Drama|War
213,76,Before Sunrise,1995,Drama|Romance
214,11017,Billy Madison,1995,Comedy
215,37141,The Babysitter,1995,Drama|Thriller
216,9382,Boys on the Side,1995,Comedy|Drama
217,6715,The Cure,1995,Drama
218,18256,Castle Freak,1995,Horror
219,22625,Circle of Friends,1995,Drama|Romance
220,2292,Clerks,1994,Comedy
221,1909,Don Juan DeMarco,1995,Comedy|Drama|Romance
222,8984,Disclosure,1994,Drama|Thriller
223,61813,Dream Man,1995,Thriller
224,4954,Drop Zone,1994,Action|Thriller
225,62488,Destiny Turns on the Radio,1995,Comedy
226,10531,Death and the Maiden,1994,Drama|Thriller
227,11929,Dolores Claiborne,1995,Drama|Thriller
228,8467,Dumb & Dumber,1994,Adventure|Comedy
229,10451,Eat Drink Man Woman,1994,Comedy|Drama|Romance
230,20156,Exotica,1994,Drama
231,18395,Exit to Eden,1994,Comedy
232,522,Ed Wood,1994,Comedy|Drama
233,397,French Kiss,1995,Action|Comedy|Romance
234,10525,Forget Paris,1995,Comedy|Romance
235,27985,Far From Home: The Adventures of Yellow Dog,1995,Adventure|Children
236,15789,A Goofy Movie,1995,Animation|Children|Comedy|Romance
237,27303,Hideaway,1995,Thriller
238,21183,Fluke,1995,Children|Drama
239,10954,Farinelli: il castrato,1994,Drama|Musical
240,47867,Gordy,1995,Children|Comedy|Fantasy
241,43475,Gumby: The Movie,1995,Animation|Children
242,72031,The Glass Shield,1994,Crime|Drama
243,14275,Hoop Dreams,1994,Documentary
244,1024,Heavenly Creatures,1994,Crime|Drama
245,17207,Houseguest,1994,Comedy
246,13701,Immortal Beloved,1994,Drama|Romance
247,14819,Heavyweights,1995,Children|Comedy
248,32631,The Hunted,1995,Action
249,11777,I.Q.,1994,Comedy|Romance
250,628,Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror
251,87729,Jefferson in Paris,1995,Drama
252,18713,The Jerky Boys,1995,Comedy
253,6280,Junior,1994,Comedy|Sci-Fi
254,9061,Just Cause,1995,Mystery|Thriller
255,37108,A Kid in King Arthur's Court,1995,Adventure|Children|Comedy|Fantasy|Romance
256,6071,Kiss of Death,1995,Crime|Drama|Thriller
257,11,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Sci-Fi
258,9587,Little Women,1994,Drama
259,19101,A Little Princess,1995,Children|Drama
260,49980,Ladybird Ladybird,1994,Drama
261,17961,"Enfer, L'",1994,Drama
262,18183,Like Water for Chocolate,1992,Drama|Fantasy|Romance
263,4476,Legends of the Fall,1994,Drama|Romance|War|Western
264,11008,Major Payne,1995,Comedy
265,47504,Little Odessa,1994,Crime|Drama
266,32325,My Crazy Life,1993,Drama
267,43742,Love Affair,1994,Drama|Romance
268,28313,Losing Isaiah,1995,Drama
269,11318,The Madness of King George,1994,Comedy|Drama
270,3036,Mary Shelley's Frankenstein,1994,Drama|Horror|Sci-Fi
271,40490,Man of the House,1995,Comedy
272,24070,Mixed Nuts,1994,Comedy
273,8986,Milk Money,1994,Comedy|Romance
274,10510,Miracle on 34th Street,1994,Drama
275,17402,Miami Rhapsody,1995,Comedy
276,38722,My Family,1995,Drama
277,8438,Murder in the First,1995,Drama|Thriller
278,11593,Nobody's Fool,1994,Comedy|Drama|Romance
279,1945,Nell,1994,Drama
280,39310,New Jersey Drive,1995,Crime|Drama
281,109560,New York Cop,1993,Action|Crime
282,56428,Beyond Bedlam,1993,Drama|Horror
283,63105,Nemesis 2: Nebula,1995,Action|Sci-Fi|Thriller
284,131957,Nina Takes a Lover,1994,Comedy|Romance
285,241,Natural Born Killers,1994,Action|Crime|Thriller
286,9058,Only You,1994,Comedy|Romance
287,527,Once Were Warriors,1994,Crime|Drama
288,18220,Poison Ivy II,1996,Drama|Thriller
289,6950,Outbreak,1995,Action|Drama|Sci-Fi|Thriller
290,101,Léon: The Professional,1994,Action|Crime|Drama|Thriller
291,63020,The Perez Family,1995,Comedy|Romance
292,2307,A Pyromaniac's Love Story,1995,Comedy|Romance
293,680,Pulp Fiction,1994,Comedy|Crime|Drama|Thriller
294,41478,Panther,1995,Drama
295,25296,Pushing Hands,1992,Drama
296,40156,Priest,1994,Drama
297,11450,Quiz Show,1994,Drama
298,30304,Picture Bride,1994,Drama|Romance
299,10452,Queen Margot,1994,Drama|Romance
300,12106,The Quick and the Dead,1995,Action|Thriller|Western
301,161495,Roommates,1995,Comedy|Drama
302,3586,Ready to Wear,1994,Comedy
303,110,Three Colors: Red,1994,Drama
304,108,Three Colors: Blue,1993,Drama
305,109,Three Colors: White,1994,Comedy|Drama
306,159185,"Red Firecracker, Green Firecracker",1994,Drama
307,36357,Rent-a-Kid,1995,Comedy
308,92769,Relative Fear,1994,Horror|Thriller
309,28033,Stuart Saves His Family,1995,Comedy
310,22586,The Swan Princess,1994,Animation|Children
311,14334,The Secret of Roan Inish,1994,Children|Drama|Fantasy|Mystery
312,2636,The Specialist,1994,Action|Drama|Thriller
313,2164,Stargate,1994,Action|Adventure|Sci-Fi
314,11395,The Santa Clause,1994,Comedy|Drama|Fantasy
315,278,The Shawshank Redemption,1994,Crime|Drama
316,9905,Shallow Grave,1994,Comedy|Drama|Thriller
317,87078,Suture,1993,Film-Noir|Thriller
318,12527,Strawberry and Chocolate,1993,Drama
319,20306,Swimming with Sharks,1995,Comedy|Drama
320,36614,The Sum of Us,1994,Comedy|Drama
321,27993,National Lampoon's Senior Trip,1995,Comedy
322,31439,To Live,1994,Drama
323,9067,Tank Girl,1995,Action|Comedy|Sci-Fi
324,9059,Tales from the Crypt Presents: Demon Knight,1995,Horror|Thriller
325,193,Star Trek: Generations,1994,Adventure|Drama|Sci-Fi
326,25066,Tales from the Hood,1995,Action|Crime|Horror
327,46797,Tom & Viv,1994,Drama
328,12122,Village of the Damned,1995,Horror|Sci-Fi
329,11381,Tommy Boy,1995,Comedy
330,32636,Vanya on 42nd Street,1994,Drama
331,36141,Underneath,1995,Mystery|Thriller
332,95963,The Walking Dead,1995,Drama|War
333,1587,What's Eating Gilbert Grape,1993,Drama
334,9271,Virtuosity,1995,Action|Sci-Fi|Thriller
335,2064,While You Were Sleeping,1995,Comedy|Romance
336,19855,The War,1994,Adventure|Drama|War
337,60855,Double Happiness,1994,Drama
338,236,Muriel's Wedding,1994,Comedy
339,48287,The Baby-Sitters Club,1995,Children
340,3049,Ace Ventura: Pet Detective,1994,Comedy
341,2759,"The Adventures of Priscilla, Queen of the Desert",1994,Comedy|Drama
342,12635,Backbeat,1993,Drama|Musical
343,10497,Bitter Moon,1992,Drama|Film-Noir|Romance
344,11382,Bullets Over Broadway,1994,Comedy
345,9331,Clear and Present Danger,1994,Action|Crime|Drama|Thriller
346,10731,The Client,1994,Drama|Mystery|Thriller
347,10464,"Corrina, Corrina",1994,Comedy|Drama|Romance
348,34152,Crooklyn,1994,Comedy|Drama
349,9495,The Crow,1994,Action|Crime|Fantasy|Thriller
350,29973,Cobb,1994,Drama
351,888,The Flintstones,1994,Children|Comedy|Fantasy
352,13,Forrest Gump,1994,Comedy|Drama|Romance|War
353,712,Four Weddings and a Funeral,1994,Comedy|Romance
354,16295,Higher Learning,1995,Drama
355,48992,I Like It Like That,1994,Comedy|Drama|Romance
356,10879,I Love Trouble,1994,Action|Comedy
357,10660,It Could Happen to You,1994,Comedy|Drama|Romance
358,10714,The Jungle Book,1994,Adventure|Children|Romance
359,41647,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,Documentary
360,8587,The Lion King,1994,Adventure|Animation|Children|Drama|Musical|IMAX
361,1689,Little Buddha,1993,Drama
362,11596,Wes Craven's New Nightmare,1994,Drama|Horror|Mystery|Thriller
363,854,The Mask,1994,Action|Comedy|Crime|Fantasy
364,9359,Maverick,1994,Adventure|Comedy|Western
365,23333,Mrs. Parker and the Vicious Circle,1994,Drama
366,36593,Naked Gun 33 1/3: The Final Insult,1994,Action|Comedy
367,12280,The Paper,1994,Comedy|Drama
368,2788,Reality Bites,1994,Comedy|Drama|Romance
369,10427,Red Rock West,1992,Thriller
370,11011,Richie Rich,1994,Children|Comedy
371,49803,Safe Passage,1994,Drama
372,8987,The River Wild,1994,Action|Thriller
373,1637,Speed,1994,Action|Romance|Thriller
374,15128,Speechless,1994,Comedy|Romance
375,8831,Timecop,1994,Action|Sci-Fi|Thriller
376,36955,True Lies,1994,Action|Adventure|Comedy|Romance|Thriller
377,10449,When a Man Loves a Woman,1994,Drama|Romance
378,10395,Wolf,1994,Drama|Horror|Romance|Thriller
379,12160,Wyatt Earp,1994,Western
380,40480,Bad Company,1995,Action|Crime|Drama
381,52038,A Man of No Importance,1994,Drama
382,29444,S.F.W.,1994,Drama
383,26352,A Low Down Dirty Shame,1994,Action|Comedy
384,39953,Boys Life,1995,Drama
385,41580,Le Colonel Chabert,1994,Drama|Romance|War
386,315,Faster Pussycat! Kill! Kill!,1965,Action|Crime|Drama
387,22067,Jason's Lyric,1994,Crime|Drama
388,18242,The Secret Adventures of Tom Thumb,1993,Adventure|Animation
389,11667,Street Fighter,1994,Action|Adventure|Fantasy
390,32502,Coldblooded,1995,Comedy
391,267188,Desert Winds,1995,Drama|Fantasy|Romance
392,28732,Fall Time,1995,Drama
393,75555,The Fear,1995,Horror
394,42981,Frank and Ollie,1995,Documentary
395,278939,Girl in the Cadillac,1995,Drama
396,291731,Homage,1995,Drama
397,226229,Mirage,1995,Action|Thriller
398,203119,Open Season,1996,Comedy
399,172923,Two Crimes,1995,Comedy|Crime|Drama
400,316098,Brother Minister: The Assassination of Malcolm X,1994,Documentary
401,8011,Highlander III: The Sorcerer,1994,Action|Fantasy
402,171857,Federal Hill,1994,Drama
403,2654,In the Mouth of Madness,1995,Horror|Thriller
404,18069,8 Seconds,1994,Drama
405,19092,Above the Rim,1994,Crime|Drama
406,2758,Addams Family Values,1993,Children|Comedy|Fantasy
407,38129,Martin Lawrence: You So Crazy,1994,Comedy|Documentary
408,10436,The Age of Innocence,1993,Drama
409,13595,Airheads,1994,Comedy
410,46094,The Air Up There,1994,Comedy
411,9409,Another Stakeout,1993,Comedy|Thriller
412,11853,Bad Girls,1994,Western
413,16771,Barcelona,1994,Comedy|Romance
414,46924,Being Human,1993,Drama
415,11041,The Beverly Hillbillies,1993,Comedy
416,306,Beverly Hills Cop III,1994,Action|Comedy|Crime|Thriller
417,14522,Black Beauty,1994,Adventure|Children|Drama
418,26203,Blink,1994,Thriller
419,178,Blown Away,1994,Action|Thriller
420,19819,Blue Chips,1994,Drama
421,57834,Blue Sky,1994,Drama|Romance
422,4722,Body Snatchers,1993,Horror|Sci-Fi|Thriller
423,18215,Boxing Helena,1993,Drama|Mystery|Romance|Thriller
424,1607,A Bronx Tale,1993,Drama
425,26391,Cabin Boy,1994,Comedy
426,117553,Calendar Girl,1993,Comedy|Drama
427,6075,Carlito's Way,1993,Crime|Drama
428,11310,City Slickers II: The Legend of Curly's Gold,1994,Adventure|Comedy|Western
429,18658,Clean Slate,1994,Comedy
430,9350,Cliffhanger,1993,Action|Adventure|Thriller
431,9612,Coneheads,1993,Comedy|Sci-Fi
432,2124,Color of Night,1994,Drama|Thriller
433,26261,Cops and Robbersons,1994,Comedy
434,19176,The Cowboy Way,1994,Action|Comedy|Drama
435,49299,Dangerous Game,1993,Drama
436,11566,Dave,1993,Comedy|Romance
437,9571,Dazed and Confused,1993,Comedy
438,9739,Demolition Man,1993,Action|Adventure|Sci-Fi
439,24257,The Endless Summer 2,1994,Adventure|Documentary
440,34444,Even Cowgirls Get the Blues,1993,Comedy|Romance
441,26141,Fatal Instinct,1993,Comedy
442,10997,Farewell My Concubine,1993,Drama|Romance
443,50463,The Favor,1994,Comedy|Romance
444,10443,Fearless,1993,Drama
445,20239,Fear of a Black Hat,1994,Comedy
446,16297,With Honors,1994,Comedy|Drama
447,18551,Flesh and Bone,1993,Drama|Mystery|Romance
448,25440,Widows' Peak,1994,Drama
449,9024,For Love or Money,1993,Comedy|Romance
450,37233,The Firm,1993,Drama|Thriller
451,1634,Free Willy,1993,Adventure|Children|Drama
452,13815,Fresh,1994,Crime|Drama|Thriller
453,5503,The Fugitive,1993,Thriller
454,35588,Geronimo: An American Legend,1993,Drama|Western
455,2087,The Getaway,1994,Action|Adventure|Crime|Drama|Romance|Thriller
456,41579,Getting Even with Dad,1994,Comedy
457,18620,Go Fish,1994,Drama|Romance
458,41006,A Good Man in Africa,1994,Action|Adventure
459,4916,Guilty as Sin,1993,Crime|Drama|Thriller
460,2019,Hard Target,1993,Action|Adventure|Crime|Thriller
461,31642,Heaven & Earth,1993,Action|Drama|War
462,9255,Hot Shots! Part Deux,1993,Action|Comedy|War
463,26271,Live Nude Girls,1995,Comedy
464,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,Comedy|Romance
465,2259,The House of the Spirits,1993,Drama|Romance
466,16097,House Party 3,1994,Comedy
467,11934,The Hudsucker Proxy,1994,Comedy
468,106143,I'll Do Anything,1994,Comedy|Drama
469,12475,In the Army Now,1994,Comedy|War
470,9386,In the Line of Fire,1993,Action|Thriller
471,7984,In the Name of the Father,1993,Drama
472,59930,The Inkwell,1994,Comedy|Drama
473,15765,What's Love Got to Do with It?,1993,Drama|Musical
474,31643,Jimmy Hollywood,1994,Comedy|Crime|Drama
475,6,Judgment Night,1993,Action|Crime|Thriller
476,329,Jurassic Park,1993,Action|Adventure|Sci-Fi|Thriller
477,10909,Kalifornia,1993,Drama|Thriller
478,507,Killing Zoe,1994,Crime|Drama|Thriller
479,34024,King of the Hill,1993,Drama
480,29918,Lassie,1994,Adventure|Children
481,9593,Last Action Hero,1993,Action|Adventure|Comedy|Fantasy
482,42580,Life with Mikey,1993,Comedy
483,22317,Lightning Jack,1994,Comedy|Western
484,1413,M. Butterfly,1993,Drama|Romance
485,12121,Made in America,1993,Comedy
486,2246,Malice,1993,Thriller
487,10502,The Man Without a Face,1993,Drama
488,10440,Manhattan Murder Mystery,1993,Comedy|Mystery
489,9516,Menace II Society,1993,Action|Crime|Drama
490,2320,Executive Decision,1996,Action|Adventure|Thriller
491,5879,In the Realm of the Senses,1976,Drama
492,83718,What Happened Was...,1994,Comedy|Drama|Romance|Thriller
493,11971,Much Ado About Nothing,1993,Comedy|Romance
494,2625,Mr. Jones,1993,Drama|Romance
495,31911,Mr. Wonderful,1993,Comedy|Romance
496,788,Mrs. Doubtfire,1993,Comedy|Drama
497,21450,Naked,1993,Drama
498,11231,The Next Karate Kid,1994,Action|Children|Romance
499,41588,The New Age,1994,Drama
500,10447,No Escape,1994,Action|Drama|Sci-Fi
501,31586,North,1994,Comedy
502,9300,Orlando,1992,Drama|Fantasy|Romance
503,9559,A Perfect World,1993,Crime|Drama|Thriller
504,9800,Philadelphia,1993,Drama
505,713,The Piano,1993,Drama|Romance
506,8291,Poetic Justice,1993,Drama
507,18133,The Program,1993,Action|Drama
508,25557,The Puppet Masters,1994,Horror|Sci-Fi
509,22588,Radioland Murders,1994,Comedy|Mystery|Romance
510,10872,The Ref,1994,Comedy
511,1245,The Remains of the Day,1993,Drama|Romance
512,11858,Renaissance Man,1994,Comedy|Drama
513,7007,Rising Sun,1993,Action|Drama|Mystery
514,10467,The Road to Wellville,1994,Comedy
515,5550,RoboCop 3,1993,Action|Crime|Drama|Sci-Fi|Thriller
516,8005,Robin Hood: Men in Tights,1993,Comedy
517,2088,Romeo Is Bleeding,1993,Crime|Thriller
518,10412,Romper Stomper,1992,Action|Drama
519,47889,Ruby in Paradise,1993,Drama
520,14534,Rudy,1993,Drama
521,56583,The Saint of Fort Washington,1993,Drama
522,41878,Savage Nights,1992,Drama
523,424,Schindler's List,1993,Drama|War
524,35233,The Scout,1994,Comedy|Drama
525,14291,Searching for Bobby Fischer,1993,Drama
526,103413,Second Best,1994,Drama
527,11236,The Secret Garden,1993,Children|Drama
528,11592,Serial Mom,1994,Comedy|Crime|Horror
529,8850,The Shadow,1994,Action|Adventure|Fantasy|Mystery
530,10445,Shadowlands,1993,Drama|Romance
531,695,Short Cuts,1993,Drama
532,43535,A Simple Twist of Fate,1994,Drama
533,12519,Sirens,1994,Drama
534,23210,Six Degrees of Separation,1993,Drama
535,858,Sleepless in Seattle,1993,Comedy|Drama|Romance
536,867,Sliver,1993,Thriller
537,78,Blade Runner,1982,Action|Sci-Fi|Thriller
538,13203,Son in Law,1993,Comedy|Drama|Romance
539,10442,So I Married an Axe Murderer,1993,Comedy|Romance|Thriller
540,11074,Striking Distance,1993,Action|Crime
541,33367,Harem,1985,Drama
542,9607,Super Mario Bros.,1993,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
543,17585,Surviving the Game,1994,Action|Adventure|Thriller
544,9057,Terminal Velocity,1994,Action|Mystery|Thriller
545,20967,Thirty-Two Short Films About Glenn Gould,1993,Drama|Musical
546,10635,Threesome,1994,Comedy|Romance
547,9479,The Nightmare Before Christmas,1993,Animation|Children|Fantasy|Musical
548,10057,The Three Musketeers,1993,Action|Adventure|Comedy|Romance
